id,activity,ts
1,1,0.062325
1,3,0.6882
1,5,0.72154
2,1,0.072359
2,3,2.5525
2,5,2.5859
3,1,0.11684
3,4,0.36588
3,5,0.39922
4,1,0.13777
4,4,1.0227
4,5,1.0561
5,1,0.27872
5,2,2.4197
5,5,2.453
6,1,0.28154
6,2,4.2529
6,5,4.2863
7,1,0.36588
7,4,1.8386
7,5,1.872
8,1,0.6882
8,3,2.5719
8,5,2.6192
9,1,1.0227
9,4,2.3813
9,5,2.4146
10,1,1.8386
10,4,2.5148
10,5,2.5481
11,1,2.3813
11,4,2.7117
11,5,2.7538
12,1,2.4197
12,2,6.3808
12,5,6.4141
13,1,2.5148
13,4,4.708
13,5,4.7413
14,1,2.5525
14,3,2.6872
14,5,2.7205
15,1,2.7556
15,4,5.3852
15,5,5.4185
16,1,2.7774
16,3,3.2063
16,5,3.2396
17,1,2.7972
17,3,4.8781
17,5,4.9114
18,1,3.2063
18,3,5.143
18,5,5.1763
19,1,4.2529
19,2,8.2515
19,5,8.3119
20,1,4.708
20,4,7.4893
20,5,7.5453
21,1,4.8781
21,3,7.4786
21,5,7.5119
22,1,5.143
22,3,8.2452
22,5,8.2785
23,1,5.3852
23,4,7.5948
23,5,7.6282
24,1,6.3808
24,2,10.113
24,5,10.146
25,1,7.4786
25,3,10.043
25,5,10.077
26,1,7.4919
26,4,7.9114
26,5,7.9447
27,1,7.5948
27,4,8.06
27,5,8.0933
28,1,7.9114
28,4,8.5335
28,5,8.5668
29,1,8.06
29,4,9.5221
29,5,9.5554
30,1,8.2452
30,3,10.76
30,5,10.793
31,1,8.257
31,2,12.042
31,5,12.076
32,1,8.5335
32,4,10.843
32,5,10.876
33,1,9.5221
33,4,11.41
33,5,11.443
34,1,10.043
34,3,12.078
34,5,12.112
35,1,10.113
35,2,13.914
35,5,13.947
36,1,10.76
36,3,12.748
36,5,12.781
37,1,10.843
37,4,11.632
37,5,11.666
38,1,11.41
38,4,11.9
38,5,11.933
39,1,11.632
39,4,11.932
39,5,11.967
40,1,11.9
40,4,12.513
40,5,12.547
41,1,11.932
41,4,13.837
41,5,13.871
42,1,12.042
42,2,15.982
42,5,16.016
43,1,12.1
43,3,12.755
43,5,12.814
44,1,12.513
44,4,15.079
44,5,15.113
45,1,12.748
45,3,13.048
45,5,13.081
46,1,12.776
46,3,15.084
46,5,15.146
47,1,13.048
47,3,15.327
47,5,15.361
48,1,13.837
48,4,16.765
48,5,16.799
49,1,13.914
49,2,17.642
49,5,17.676
50,1,15.079
50,4,17.427
50,5,17.46
51,1,15.162
51,3,16.075
51,5,16.108
52,1,15.327
52,3,18.261
52,5,18.294
53,1,15.982
53,2,19.822
53,5,19.855
54,1,16.102
54,3,18.596
54,5,18.629
55,1,16.765
55,4,19.099
55,5,19.132
56,1,17.427
56,4,19.247
56,5,19.28
57,1,17.642
57,2,21.572
57,5,21.606
58,1,18.261
58,3,20.588
58,5,20.622
59,1,18.596
59,3,21.092
59,5,21.125
60,1,19.099
60,4,19.251
60,5,19.314
61,1,19.247
61,4,20.103
61,5,20.136
62,1,19.254
62,4,20.478
62,5,20.511
63,1,19.822
63,2,23.423
63,5,23.457
64,1,20.103
64,4,21.902
64,5,21.935
65,1,20.478
65,4,22.063
65,5,22.096
66,1,20.588
66,3,23.145
66,5,23.178
67,1,21.092
67,3,24.535
67,5,24.568
68,1,21.572
68,2,25.214
68,5,25.247
69,1,21.902
69,4,22.575
69,5,22.609
70,1,22.063
70,4,24.356
70,5,24.389
71,1,22.575
71,4,25.614
71,5,25.647
72,1,23.145
72,3,25.789
72,5,25.822
73,1,23.423
73,2,27.393
73,5,27.427
74,1,24.356
74,4,25.633
74,5,25.681
75,1,24.535
75,3,26.014
75,5,26.047
76,1,25.214
76,2,29.518
76,5,29.552
77,1,25.614
77,4,26.55
77,5,26.583
78,1,25.633
78,4,27.009
78,5,27.042
79,1,25.789
79,3,28.006
79,5,28.04
80,1,26.014
80,3,28.917
80,5,28.95
81,1,26.55
81,4,27.079
81,5,27.112
82,1,27.009
82,4,27.522
82,5,27.555
83,1,27.079
83,4,27.763
83,5,27.796
84,1,27.393
84,2,31.373
84,5,31.406
85,1,27.522
85,4,28.59
85,5,28.623
86,1,27.763
86,4,29.538
86,5,29.585
87,1,28.006
87,3,29.216
87,5,29.249
88,1,28.59
88,4,29.56
88,5,29.618
89,1,28.917
89,3,30.531
89,5,30.594
90,1,29.216
90,3,32.567
90,5,32.601
91,1,29.518
91,2,33.289
91,5,33.322
92,1,29.549
92,4,30.208
92,5,30.241
93,1,29.56
93,4,30.435
93,5,30.469
94,1,30.208
94,4,30.527
94,5,30.561
95,1,30.435
95,4,30.952
95,5,30.986
96,1,30.626
96,3,33.092
96,5,33.125
97,1,30.629
97,4,31.021
97,5,31.055
98,1,30.952
98,4,32.32
98,5,32.353
99,1,31.123
99,4,33.989
99,5,34.022
100,1,31.373
100,2,35.008
100,5,35.041
101,1,32.32
101,4,34.708
101,5,34.741
102,1,32.567
102,3,33.661
102,5,33.695
103,1,33.092
103,3,33.724
103,5,33.757
104,1,33.289
104,2,36.739
104,5,36.772
105,1,33.661
105,3,34.157
105,5,34.19
106,1,33.75
106,3,35.316
106,5,35.35
107,1,33.989
107,4,34.943
107,5,34.977
108,1,34.157
108,3,35.665
108,5,35.699
109,1,34.708
109,4,36.11
109,5,36.143
110,1,34.943
110,4,36.114
110,5,36.176
111,1,35.008
111,2,38.505
111,5,38.538
112,1,35.316
112,3,36.059
112,5,36.093
113,1,35.665
113,3,36.384
113,5,36.418
114,1,36.059
114,3,36.522
114,5,36.555
115,1,36.11
115,4,38.039
115,5,38.072
116,1,36.124
116,4,38.84
116,5,38.906
117,1,36.384
117,3,38.066
117,5,38.106
118,1,36.522
118,3,38.84
118,5,38.873
119,1,36.739
119,2,40.213
119,5,40.272
120,1,38.039
120,4,40.205
120,5,40.238
121,1,38.094
121,3,38.867
121,5,38.94
122,1,38.505
122,2,42.212
122,5,42.245
123,1,38.84
123,3,45.26
123,5,45.294
124,1,38.885
124,4,40.625
124,5,40.658
125,1,38.959
125,3,45.613
125,5,45.676
126,1,40.205
126,4,41.093
126,5,41.126
127,1,40.274
127,2,44.304
127,5,44.337
128,1,40.625
128,4,41.194
128,5,41.227
129,1,41.093
129,4,42.775
129,5,42.808
130,1,41.194
130,4,43.846
130,5,43.879
131,1,42.212
131,2,45.988
131,5,46.022
132,1,42.775
132,4,45.609
132,5,45.643
133,1,43.846
133,4,46.319
133,5,46.353
134,1,44.304
134,2,47.922
134,5,47.955
135,1,45.26
135,3,49.854
135,5,49.888
136,1,45.609
136,4,47.069
136,5,47.103
137,1,45.762
137,3,51.493
137,5,51.527
138,1,45.988
138,2,49.595
138,5,49.629
139,1,46.319
139,4,48.956
139,5,48.989
140,1,47.069
140,4,49.328
140,5,49.361
141,1,47.922
141,2,51.55
141,5,51.593
142,1,48.956
142,4,49.676
142,5,49.709
143,1,49.328
143,4,50.029
143,5,50.063
144,1,49.595
144,2,53.635
144,5,53.683
145,1,49.676
145,4,50.263
145,5,50.296
146,1,49.854
146,3,51.509
146,5,51.56
147,1,50.029
147,4,50.623
147,5,50.656
148,1,50.263
148,4,53.616
148,5,53.649
149,1,50.623
149,4,53.939
149,5,53.973
150,1,51.493
150,3,51.978
150,5,52.012
151,1,51.509
151,3,52.394
151,5,52.428
152,1,51.55
152,2,55.698
152,5,55.731
153,1,51.978
153,3,52.679
153,5,52.713
154,1,52.394
154,3,53.103
154,5,53.136
155,1,52.679
155,3,55.176
155,5,55.209
156,1,53.103
156,3,56.169
156,5,56.202
157,1,53.616
157,4,54.099
157,5,54.132
158,1,53.635
158,2,57.795
158,5,57.828
159,1,53.939
159,4,54.942
159,5,54.975
160,1,54.099
160,4,57.125
160,5,57.158
161,1,54.942
161,4,59.566
161,5,59.599
162,1,55.176
162,3,56.475
162,5,56.508
163,1,55.698
163,2,59.972
163,5,60.005
164,1,56.169
164,3,57.659
164,5,57.692
165,1,56.475
165,3,57.902
165,5,57.936
166,1,57.125
166,4,62.801
166,5,62.834
167,1,57.659
167,3,58.271
167,5,58.304
168,1,57.795
168,2,61.845
168,5,61.884
169,1,57.902
169,3,58.274
169,5,58.337
170,1,58.271
170,3,58.758
170,5,58.792
171,1,58.286
171,3,60.054
171,5,60.087
172,1,58.758
172,3,60.645
172,5,60.679
173,1,59.566
173,4,65.171
173,5,65.204
174,1,59.972
174,2,63.977
174,5,64.011
175,1,60.054
175,3,61.818
175,5,61.851
176,1,60.645
176,3,62.397
176,5,62.43
177,1,61.818
177,3,64.787
177,5,64.82
178,1,61.845
178,2,65.852
178,5,65.885
179,1,62.397
179,3,64.856
179,5,64.89
180,1,62.801
180,4,65.428
180,5,65.461
181,1,63.977
181,2,67.787
181,5,67.82
182,1,64.787
182,3,65.362
182,5,65.396
183,1,64.886
183,3,66.418
183,5,66.452
184,1,65.171
184,4,65.757
184,5,65.79
185,1,65.362
185,3,67.288
185,5,67.321
186,1,65.428
186,4,66.16
186,5,66.194
187,1,65.757
187,4,66.728
187,5,66.762
188,1,65.852
188,2,69.488
188,5,69.522
189,1,66.16
189,4,67.22
189,5,67.254
190,1,66.418
190,3,67.588
190,5,67.622
191,1,66.728
191,4,67.84
191,5,67.873
192,1,67.22
192,4,68.86
192,5,68.893
193,1,67.288
193,3,72.318
193,5,72.352
194,1,67.588
194,3,72.961
194,5,72.995
195,1,67.787
195,2,71.677
195,5,71.725
196,1,67.84
196,4,69.865
196,5,69.898
197,1,68.86
197,4,70.245
197,5,70.278
198,1,69.488
198,2,73.716
198,5,73.757
199,1,69.865
199,4,70.568
199,5,70.601
200,1,70.245
200,4,70.677
200,5,70.71
201,1,70.568
201,4,71.659
201,5,71.692
202,1,70.677
202,4,72.739
202,5,72.772
203,1,71.659
203,4,73.691
203,5,73.724
204,1,71.78
204,2,75.672
204,5,75.705
205,1,72.318
205,3,73.048
205,5,73.081
206,1,72.739
206,4,76.885
206,5,76.918
207,1,72.961
207,3,73.161
207,5,73.194
208,1,73.048
208,3,73.527
208,5,73.56
209,1,73.161
209,3,73.607
209,5,73.64
210,1,73.527
210,3,74.039
210,5,74.072
211,1,73.607
211,3,75.344
211,5,75.377
212,1,73.691
212,4,77.644
212,5,77.677
213,1,73.716
213,2,77.497
213,5,77.53
214,1,74.039
214,3,77.418
214,5,77.452
215,1,75.344
215,3,78.021
215,5,78.054
216,1,75.672
216,2,79.184
216,5,79.237
217,1,76.885
217,4,78.173
217,5,78.206
218,1,77.418
218,3,79.224
218,5,79.27
219,1,77.497
219,2,81.122
219,5,81.155
220,1,77.644
220,4,78.357
220,5,78.39
221,1,78.021
221,3,81.561
221,5,81.594
222,1,78.173
222,4,78.947
222,5,78.98
223,1,78.357
223,4,79.17
223,5,79.203
224,1,78.947
224,4,79.582
224,5,79.615
225,1,79.17
225,4,80.259
225,5,80.292
226,1,79.184
226,2,82.89
226,5,82.923
227,1,79.224
227,3,83.033
227,5,83.067
228,1,79.582
228,4,81.604
228,5,81.637
229,1,80.259
229,4,81.849
229,5,81.883
230,1,81.122
230,2,84.96
230,5,85.01
231,1,81.561
231,3,83.303
231,5,83.336
232,1,81.604
232,4,81.901
232,5,81.934
233,1,81.849
233,4,82.236
233,5,82.269
234,1,81.927
234,4,83.692
234,5,83.725
235,1,82.236
235,4,84.943
235,5,84.977
236,1,82.89
236,2,86.874
236,5,86.907
237,1,83.033
237,3,84.815
237,5,84.849
238,1,83.303
238,3,86.974
238,5,87.008
239,1,83.692
239,4,85.32
239,5,85.353
240,1,84.815
240,3,89.139
240,5,89.172
241,1,84.943
241,4,87.452
241,5,87.485
242,1,84.98
242,2,88.977
242,5,89.01
243,1,85.32
243,4,88.239
243,5,88.272
244,1,86.874
244,2,90.822
244,5,90.855
245,1,86.974
245,3,89.472
245,5,89.505
246,1,87.452
246,4,90.675
246,5,90.708
247,1,88.239
247,4,93.993
247,5,94.026
248,1,88.977
248,2,92.765
248,5,92.798
249,1,89.139
249,3,89.794
249,5,89.828
250,1,89.472
250,3,89.972
250,5,90.005
251,1,89.794
251,3,90.752
251,5,90.785
252,1,89.972
252,3,91.303
252,5,91.336
253,1,90.675
253,4,94.966
253,5,95
254,1,90.752
254,3,92.34
254,5,92.373
255,1,90.822
255,2,94.741
255,5,94.774
256,1,91.303
256,3,92.89
256,5,92.923
257,1,92.34
257,3,93.208
257,5,93.242
258,1,92.765
258,2,96.459
258,5,96.492
259,1,92.89
259,3,95.19
259,5,95.223
260,1,93.208
260,3,98.758
260,5,98.792
261,1,93.993
261,4,96.244
261,5,96.278
262,1,94.741
262,2,98.387
262,5,98.42
263,1,94.966
263,4,96.271
263,5,96.311
264,1,95.19
264,3,100.23
264,5,100.26
265,1,96.244
265,4,97.377
265,5,97.41
266,1,96.306
266,4,97.394
266,5,97.443
267,1,96.459
267,2,100.09
267,5,100.12
268,1,97.377
268,4,102.38
268,5,102.41
269,1,97.424
269,4,103.4
269,5,103.44
270,1,98.387
270,2,101.8
270,5,101.83
271,1,98.758
271,3,103.98
271,5,104.01
272,1,100.09
272,2,103.54
272,5,103.57
273,1,100.23
273,3,104.37
273,5,104.41
274,1,101.8
274,2,105.53
274,5,105.58
275,1,102.38
275,4,104.19
275,5,104.23
276,1,103.4
276,4,105.64
276,5,105.67
277,1,103.54
277,2,107.28
277,5,107.31
278,1,103.98
278,3,105.27
278,5,105.3
279,1,104.19
279,4,107.62
279,5,107.65
280,1,104.37
280,3,105.52
280,5,105.55
281,1,105.27
281,3,105.83
281,5,105.86
282,1,105.52
282,3,106.13
282,5,106.17
283,1,105.55
283,2,109.42
283,5,109.45
284,1,105.64
284,4,107.63
284,5,107.69
285,1,105.83
285,3,106.3
285,5,106.34
286,1,106.13
286,3,106.58
286,5,106.61
287,1,106.3
287,3,106.77
287,5,106.8
288,1,106.58
288,3,106.94
288,5,106.98
289,1,106.77
289,3,107.52
289,5,107.55
290,1,106.94
290,3,108.27
290,5,108.31
291,1,107.28
291,2,111.2
291,5,111.23
292,1,107.52
292,3,108.79
292,5,108.82
293,1,107.62
293,4,107.72
293,5,107.75
294,1,107.64
294,4,107.87
294,5,107.9
295,1,107.72
295,4,107.91
295,5,107.95
296,1,107.87
296,4,108.18
296,5,108.22
297,1,107.91
297,4,108.67
297,5,108.7
298,1,108.18
298,4,109.6
298,5,109.64
299,1,108.27
299,3,108.99
299,5,109.03
300,1,108.67
300,4,109.63
300,5,109.67
301,1,108.79
301,3,109.71
301,5,109.74
302,1,108.99
302,3,111
302,5,111.03
303,1,109.42
303,2,113.04
303,5,113.08
304,1,109.6
304,4,109.84
304,5,109.87
305,1,109.63
305,4,110.62
305,5,110.65
306,1,109.71
306,3,111.38
306,5,111.42
307,1,109.84
307,4,110.82
307,5,110.85
308,1,110.62
308,4,111.34
308,5,111.38
309,1,110.82
309,4,111.67
309,5,111.7
310,1,111
310,3,111.84
310,5,111.88
311,1,111.2
311,2,115.2
311,5,115.24
312,1,111.34
312,4,113.23
312,5,113.27
313,1,111.4
313,3,112.22
313,5,112.26
314,1,111.67
314,4,113.39
314,5,113.43
315,1,111.84
315,3,112.75
315,5,112.78
316,1,112.22
316,3,113.62
316,5,113.66
317,1,112.75
317,3,114.31
317,5,114.34
318,1,113.04
318,2,117.36
318,5,117.4
319,1,113.23
319,4,113.71
319,5,113.75
320,1,113.39
320,4,113.94
320,5,113.98
321,1,113.62
321,3,114.82
321,5,114.85
322,1,113.71
322,4,115.28
322,5,115.31
323,1,113.94
323,4,115.53
323,5,115.56
324,1,114.31
324,3,116.65
324,5,116.68
325,1,114.82
325,3,116.9
325,5,116.93
326,1,115.2
326,2,119.2
326,5,119.23
327,1,115.33
327,4,117.04
327,5,117.08
328,1,115.53
328,4,117.65
328,5,117.68
329,1,116.65
329,3,117.94
329,5,117.98
330,1,116.9
330,3,118.59
330,5,118.63
331,1,117.04
331,4,117.69
331,5,117.72
332,1,117.36
332,2,121.22
332,5,121.25
333,1,117.65
333,4,122.27
333,5,122.3
334,1,117.71
334,4,122.85
334,5,122.89
335,1,117.94
335,3,119.89
335,5,119.92
336,1,118.59
336,3,120.17
336,5,120.21
337,1,119.2
337,2,123.39
337,5,123.42
338,1,119.89
338,3,121.75
338,5,121.78
339,1,120.17
339,3,121.98
339,5,122.01
340,1,121.22
340,2,123.45
340,5,123.48
341,1,121.75
341,3,125.52
341,5,125.58
342,1,121.98
342,3,125.55
342,5,125.61
343,1,122.27
343,4,123.3
343,5,123.34
344,1,122.85
344,4,123.89
344,5,123.94
345,1,123.3
345,4,126.19
345,5,126.23
346,1,123.48
346,2,123.54
346,5,123.57
347,1,123.53
347,2,123.61
347,5,123.64
348,1,123.54
348,2,123.67
348,5,123.7
349,1,123.61
349,2,123.74
349,5,123.77
350,1,123.69
350,2,123.8
350,5,123.84
351,1,123.74
351,2,123.87
351,5,123.91
352,1,123.8
352,2,123.94
352,5,123.98
353,1,123.87
353,2,124.01
353,5,124.04
354,1,123.89
354,4,127.94
354,5,127.97
355,1,123.94
355,2,124.07
355,5,124.11
356,1,124.01
356,2,124.14
356,5,124.18
357,1,124.07
357,2,124.2
357,5,124.24
358,1,124.14
358,2,124.28
358,5,124.31
359,1,124.2
359,2,124.34
359,5,124.37
360,1,124.28
360,2,124.4
360,5,124.44
361,1,124.34
361,2,124.47
361,5,124.5
362,1,124.4
362,2,124.53
362,5,124.57
363,1,124.47
363,2,124.59
363,5,124.63
364,1,124.53
364,2,124.66
364,5,124.69
365,1,124.59
365,2,124.73
365,5,124.76
366,1,124.66
366,2,124.79
366,5,124.82
367,1,124.73
367,2,124.85
367,5,124.88
368,1,124.79
368,2,124.91
368,5,124.94
369,1,124.85
369,2,124.98
369,5,125.01
370,1,124.91
370,2,125.03
370,5,125.07
371,1,124.98
371,2,125.1
371,5,125.13
372,1,125.03
372,2,125.16
372,5,125.2
373,1,125.1
373,2,125.23
373,5,125.26
374,1,125.26
374,2,125.33
374,5,125.36
375,1,125.27
375,2,125.39
375,5,125.42
376,1,125.33
376,2,125.45
376,5,125.48
377,1,125.39
377,2,125.51
377,5,125.55
378,1,125.45
378,2,125.57
378,5,125.65
379,1,125.51
379,2,125.65
379,5,125.68
380,1,125.57
380,3,128.27
380,5,128.3
381,1,125.62
381,3,129.11
381,5,129.15
382,1,125.67
382,2,125.75
382,5,125.78
383,1,125.69
383,2,125.82
383,5,125.85
384,1,125.77
384,2,125.88
384,5,125.92
385,1,125.82
385,2,125.96
385,5,125.99
386,1,125.88
386,2,126.02
386,5,126.06
387,1,125.96
387,2,126.1
387,5,126.13
388,1,126.02
388,2,126.17
388,5,126.2
389,1,126.1
389,2,128.02
389,5,128.05
390,1,126.17
390,2,129.75
390,5,129.78
391,1,126.19
391,4,130.72
391,5,130.76
392,1,127.94
392,4,130.91
392,5,130.94
393,1,128.02
393,2,131.74
393,5,131.78
394,1,128.27
394,3,133.1
394,5,133.13
395,1,129.11
395,3,134.32
395,5,134.36
396,1,129.75
396,2,133.91
396,5,133.94
397,1,130.72
397,4,131.38
397,5,131.41
398,1,130.91
398,4,134.22
398,5,134.26
399,1,131.38
399,4,134.52
399,5,134.55
400,1,131.74
400,2,136.05
400,5,136.08
401,1,133.1
401,3,134.85
401,5,134.88
402,1,133.91
402,2,138.21
402,5,138.24
403,1,134.22
403,4,135.37
403,5,135.41
404,1,134.32
404,3,135.15
404,5,135.18
405,1,134.52
405,4,136.24
405,5,136.27
406,1,134.85
406,3,135.69
406,5,135.73
407,1,135.15
407,3,137.17
407,5,137.2
408,1,135.37
408,4,140.1
408,5,140.14
409,1,135.69
409,3,138.68
409,5,138.71
410,1,136.05
410,2,139.96
410,5,139.99
411,1,136.24
411,4,140.39
411,5,140.43
412,1,137.17
412,3,140.47
412,5,140.51
413,1,138.21
413,2,141.8
413,5,141.83
414,1,138.68
414,3,140.72
414,5,140.75
415,1,139.96
415,2,143.84
415,5,143.88
416,1,140.1
416,4,143.35
416,5,143.38
417,1,140.39
417,4,144.02
417,5,144.05
418,1,140.47
418,3,140.77
418,5,140.8
419,1,140.72
419,3,143.87
419,5,143.91
420,1,140.77
420,3,144.09
420,5,144.12
421,1,141.8
421,2,145.6
421,5,145.63
422,1,143.35
422,4,144.78
422,5,144.81
423,1,143.84
423,2,147.64
423,5,147.67
424,1,143.87
424,3,145.7
424,5,145.73
425,1,144.02
425,4,146.11
425,5,146.14
426,1,144.09
426,3,145.82
426,5,145.85
427,1,144.78
427,4,146.87
427,5,146.95
428,1,145.6
428,2,149.38
428,5,149.42
429,1,145.7
429,3,146.85
429,5,146.88
430,1,145.82
430,3,146.86
430,5,146.92
431,1,146.11
431,4,147.07
431,5,147.11
432,1,146.85
432,3,148.43
432,5,148.46
433,1,146.89
433,3,150.04
433,5,150.07
434,1,146.89
434,4,147.5
434,5,147.53
435,1,147.07
435,4,149.04
435,5,149.07
436,1,147.5
436,4,150.62
436,5,150.66
437,1,147.64
437,2,151.05
437,5,151.09
438,1,148.43
438,3,150.1
438,5,150.13
439,1,149.04
439,4,151.83
439,5,151.87
440,1,149.38
440,2,152.79
440,5,152.85
441,1,150.04
441,3,150.42
441,5,150.45
442,1,150.1
442,3,150.48
442,5,150.51
443,1,150.42
443,3,152.78
443,5,152.81
444,1,150.48
444,3,153
444,5,153.03
445,1,150.62
445,4,152.35
445,5,152.39
446,1,151.05
446,2,154.84
446,5,154.87
447,1,151.83
447,4,152.45
447,5,152.48
448,1,152.35
448,4,152.54
448,5,152.57
449,1,152.45
449,4,154.59
449,5,154.62
450,1,152.54
450,4,154.6
450,5,154.65
451,1,152.78
451,3,153.74
451,5,153.78
452,1,152.79
452,2,156.99
452,5,157.03
453,1,153
453,3,154.08
453,5,154.11
454,1,153.74
454,3,154.33
454,5,154.36
455,1,154.08
455,3,154.54
455,5,154.58
456,1,154.33
456,3,155.49
456,5,155.52
457,1,154.54
457,3,156.29
457,5,156.33
458,1,154.64
458,4,159.26
458,5,159.29
459,1,154.65
459,4,160.76
459,5,160.8
460,1,154.84
460,2,158.95
460,5,158.99
461,1,155.49
461,3,156.33
461,5,156.37
462,1,156.29
462,3,156.79
462,5,156.83
463,1,156.33
463,3,158.48
463,5,158.52
464,1,156.79
464,3,159.26
464,5,159.32
465,1,156.99
465,2,160.94
465,5,160.97
466,1,158.48
466,3,160.48
466,5,160.51
467,1,158.95
467,2,162.71
467,5,162.75
468,1,159.26
468,4,161.72
468,5,161.75
469,1,159.31
469,3,162.69
469,5,162.72
470,1,160.48
470,3,163.07
470,5,163.11
471,1,160.76
471,4,161.93
471,5,161.96
472,1,160.94
472,2,164.64
472,5,164.68
473,1,161.72
473,4,162.58
473,5,162.61
474,1,161.93
474,4,164.58
474,5,164.62
475,1,162.58
475,4,164.94
475,5,165
476,1,162.69
476,3,164.3
476,5,164.34
477,1,162.74
477,2,164.7
477,5,164.73
478,1,163.07
478,3,164.92
478,5,164.97
479,1,164.3
479,3,167.18
479,5,167.21
480,1,164.58
480,4,165.2
480,5,165.23
481,1,164.7
481,2,164.77
481,5,164.8
482,1,164.71
482,2,164.83
482,5,164.87
483,1,164.77
483,2,164.9
483,5,164.93
484,1,164.83
484,2,164.97
484,5,165.03
485,1,165.03
485,3,167.3
485,5,167.33
486,1,165.08
486,4,166.77
486,5,166.8
487,1,165.14
487,2,165.2
487,5,165.26
488,1,165.14
488,2,165.25
488,5,165.3
489,1,165.22
489,4,169.4
489,5,169.43
490,1,165.23
490,2,165.32
490,5,165.36
491,1,165.25
491,2,165.38
491,5,165.42
492,1,165.36
492,2,165.45
492,5,165.49
493,1,165.42
493,2,165.52
493,5,165.55
494,1,165.45
494,2,165.58
494,5,165.61
495,1,165.52
495,2,165.65
495,5,165.68
496,1,165.58
496,2,165.72
496,5,165.75
497,1,165.65
497,2,165.79
497,5,165.82
498,1,165.73
498,2,165.86
498,5,165.89
499,1,165.81
499,2,165.92
499,5,165.95
500,1,165.86
500,2,165.98
500,5,166.01
501,1,165.92
501,2,166.04
501,5,166.07
502,1,165.98
502,2,168
502,5,168.03
503,1,166.04
503,2,170.05
503,5,170.08
504,1,166.77
504,4,171.43
